external_ref,transaction_at,transaction_date,transaction_week,transaction_month,source,country,currency_local,amount_local,amount_usd,is_accepted,is_cvv_provided,is_active,has_chargeback,is_missing_chargeback
DmQyXYhid18oJiWpsXSZb,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3077.75,3347.92,False,False,True,False,False
JRaX97jStHW0hMW-QHjl9,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3267.01,3553.8,True,False,True,True,False
tOClN5zRmeMhifdlBhWG7,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,802.75,566.41,True,False,True,True,False
6igaKb272U_I3tJIjiMMc,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,619.31,436.98,True,False,True,True,False
vbvYmbZ37l0sqUGN302sG,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,856.11,604.06,True,False,True,True,False
U6IYSmKpBvzV63pCAwOkL,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,850.59,600.16,False,False,True,False,False
WHQeUNR5QU6LqTF6jU_w3,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,1320.99,932.07,True,False,True,True,False
KoU335CmEIXwdqwAZR2TL,2019-01-01 00:00:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,1007.43,1007.43,True,False,True,True,False
PkVGp258KSRsvzlvw7Uah,2019-01-01 04:48:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,1358.69,1358.69,True,False,True,True,False
Oy4TfQVxcLfiyvCEJayCB,2019-01-01 09:36:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,1345.4,1345.4,True,False,True,True,False
uNzdAjMMXp9El0aDYIzUm,2019-01-01 14:24:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,1857.56,1857.56,True,False,True,True,False
HfeEyPvqAR20kPH2MvAPR,2019-01-01 19:12:00,2019-01-01,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,1817.14,1817.14,True,False,True,True,False
vcFARfAhlWd2c3nW-KKxi,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,US,USD,2860.84,2860.84,True,False,True,True,False
RQXhQbAJHkN1jwMaNu79b,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3556.52,3556.52,True,False,True,True,False
GJJM8FMb2tL2d-oQNVgMw,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3322.42,3322.42,True,False,True,True,False
OzgrYr2o2U8YZ_-5KbVcC,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3207.16,3207.16,True,False,True,True,False
RGKjej45sMmg1QdR8HAeu,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3678.74,3678.74,True,False,True,True,False
8eoxlgMKNgvjSX5wQXWm-,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2373.28,94.6,True,False,True,True,False
f3HFG7ahP-CAaNDPTfHCx,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2350.81,93.7,False,False,True,False,False
qRliPYK32-fxuG_8gtzwo,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2983.89,118.94,False,False,True,False,False
jp3-kF2_3PR1kKvgxmGrM,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3509.0,139.87,True,False,True,True,False
0n2Qg32_o5znAmfoSLg7x,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3948.51,157.38,True,False,True,True,False
3t9Nt9ihAZpbXyjWEpcz0,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,496.74,599.92,False,False,True,False,False
PRa0HqTzZOmz5qE8Doa3G,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,290.61,350.97,True,False,True,True,False
G_vtELr0H6gGMq5WWdJLB,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,256.46,309.73,True,False,True,True,False
2wzqGAWXzZ-A89MAJWhah,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,42.19,50.95,False,False,True,False,False
3nOlqF7eFvyJQG4kWn0sd,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,60.81,73.44,True,False,True,True,False
zmylL4Rge2PBr6z9g8CLi,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,2997.61,3266.5,False,False,True,False,False
vJCUNXj3zil6RTZBgLaTP,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3521.93,3837.85,False,False,True,False,False
JXcp_-Pl5d02pPFP7JjiD,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3443.9,3752.82,True,False,True,True,False
56Rf9XD6HfNTsSPCe2l2s,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3153.28,3436.13,True,False,True,True,False
VmeZ1pMsMLkmXqnpKrfLY,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,2931.98,3194.98,True,False,True,True,False
yJ_BuRV3ThK9i5Yyzi5pL,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,1706.84,1201.24,True,False,True,False,False
DgiK1CGWAFsI7xFQQcnao,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,2035.78,1432.74,True,False,True,True,False
LXVEQP3MCOdWMEVFxgTAI,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,2087.17,1468.91,True,False,True,True,False
cqLpDDx21jE4WVGVvkyY1,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,2748.28,1934.18,True,False,True,True,False
t7jcfJMycO1crYV8CI6Qm,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3374.03,2374.57,True,False,True,True,False
clpSnhixFiWkMaBpWemLl,2019-01-02 00:00:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,2451.95,2451.95,True,False,True,True,False
EP9vcj8u1HmGb8iVXGXPm,2019-01-02 04:48:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,2835.55,2835.55,True,False,True,True,False
CNay9vG2CKGVuZp3J82ZA,2019-01-02 09:36:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3301.72,3301.72,True,False,True,False,False
gIQwaSgq7oiVnBaNF4rPS,2019-01-02 14:24:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3175.36,3175.36,True,False,True,True,False
LJYz6S2CdFmHPsqx7vp8_,2019-01-02 19:12:00,2019-01-02,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3033.41,3033.41,True,False,True,True,False
IroRBWyG_s_FwDVZy2XPQ,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3697.78,3697.78,True,False,True,True,False
haT-Xg9MZ3VW-VpOj3a8m,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3685.7,3685.7,True,False,True,True,False
WnzaaolKcDnhr9Us8nMiO,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3857.86,3857.86,True,False,True,True,False
ZwRYCK6gPk6MVt5dxpWev,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,US,USD,4101.37,4101.37,False,False,True,False,False
xu1Po5sQr30t_mABUsRBl,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3936.57,3936.57,False,False,True,False,False
pN-NrYthCv4ffSU2KAkyU,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3910.25,155.91,True,False,True,True,False
F3NumyrteMRXlR7TIIO6X,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3744.67,149.31,False,False,True,False,False
oaGQi8dOvK-Nojt3-Z253,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3959.68,157.88,True,False,True,True,False
7ut4wt5T2BHVRmBTrGZ5q,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,4420.73,176.27,True,False,True,True,False
GCw37XAhOL55MiXzU4RKm,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,4121.37,164.33,False,False,True,False,False
A8MODI8tlBtLzBiAxFaB4,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,461.65,553.68,False,False,True,False,False
wQhcfjiMGKXbRBMtHx8o-,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,210.39,252.33,True,False,True,False,False
OSVHIahtQ8jhKsfH0KthP,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,479.22,574.75,False,False,True,False,False
o93lkQZcfB24ytA8AtqLe,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,534.56,641.12,False,False,True,False,False
Q1gmXV4ZcQP3pcg4H0Nhs,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,663.41,795.66,True,False,True,False,False
sJoIGj0y7pY5TV2m0-qp8,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,2831.83,3100.88,True,False,True,True,False
eJv1Q9CUR21Sulgb3EIaq,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3036.85,3325.37,True,False,True,True,False
pwZVI7oHCc7ARiX52u079,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3366.55,3686.4,True,True,True,True,False
7L_6K4mlAEHA0rzce2oQA,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3803.42,4164.77,True,False,True,True,False
UkMoGSc-SZVSgXRlHMnra,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,3594.62,3936.14,True,False,True,True,False
Itw9pMU3cRGyE8VwDnTG9,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3907.4,2768.05,True,False,True,True,False
L4JrMJb8Ch5zWx62htOZj,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3668.57,2598.86,True,False,True,True,False
1ld_vshleiyZlUnanUQuc,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3803.77,2694.64,False,False,True,False,False
iP6IF-CoWP2xHUGJz8RWe,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3580.59,2536.54,False,False,True,False,False
9UoEE367jaffIHtYzK-ru,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3537.34,2505.9,True,False,True,True,False
obZW9g8JWOc75rVu1PWZh,2019-01-03 00:00:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3211.65,3211.65,False,False,True,False,False
fx_NZ8ZffCkbxtZ-2vnyO,2019-01-03 04:48:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3631.43,3631.43,True,False,True,True,False
jqc1IhJJGGfCBQjjBxxid,2019-01-03 09:36:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3910.68,3910.68,True,False,True,True,False
VthSePU0v5REfhyRDHhjI,2019-01-03 14:24:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3682.84,3682.84,True,False,True,True,False
IbrRwEE-OMzXmKrpyS-uF,2019-01-03 19:12:00,2019-01-03,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3945.4,3945.4,True,False,True,False,False
qoBn5WroAU7Ei1mU6Ll3p,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,US,USD,3915.76,3915.76,True,False,True,True,False
skYE6_23jxxikbIwgZtxB,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,US,USD,4582.31,4582.31,True,False,True,True,False
PCPB7ijTJ9Ek3DSbnDgXu,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,US,USD,5122.4,5122.4,True,False,True,False,False
a-pZBvZcAvnaEtWY79LDe,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,US,USD,5225.38,5225.38,False,False,True,False,False
RBQg9xr6aGpy6BPpY6aLc,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,US,USD,5670.14,5670.14,False,False,True,False,False
vh1m60bWottJQKq_ixwg1,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3924.41,156.44,True,False,True,True,False
xUosizV48IzUFye5Jzf6h,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3683.23,146.83,True,False,True,False,False
iRtcg_FsVRcmOPh4iEo-D,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3433.09,136.86,False,False,True,False,False
NR2RmUyWFiv9oE8_ASaGq,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3199.01,127.53,True,False,True,True,False
UNQF_9OSDfOfuwgxy7dNL,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,2990.01,119.2,False,False,True,False,False
J9f3RBQFd4bwFFYEhZH7C,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,586.39,706.32,True,False,True,True,False
MFzkw8O2HtsfwMpcLILg9,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,416.55,501.74,True,False,True,True,False
NtauOnRsLz6DNaM_woOGL,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,581.0,699.83,True,False,True,True,False
QQDs3BsaemIp4EAI5TXFW,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,1108.17,1334.82,False,False,True,False,False
msF1NJA1cCfCvPAnOxAau,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,921.54,1110.02,True,False,True,True,False
0tT1tmp3FRp2Hxdu-Eply,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,4167.99,4597.58,True,False,True,False,False
qmFDUPi6q1DaJ8UY18KrG,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,4574.86,5046.38,True,False,True,True,False
nFRPMMXe2EXAibxX_Gmev,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,5058.92,5580.34,False,False,True,False,False
D5tx4dqHK8tQcBcumLCRM,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,5375.92,5930.01,True,False,True,True,False
nVUCpwnmADBbmSLuZwnOW,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,5781.39,6377.27,False,False,True,False,False
aR0h1Icyp6yuZ9gET-mAJ,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,3774.13,2681.59,True,False,True,True,False
enhDnlrnvNyPtoCKm2VMB,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,4242.07,3014.07,True,False,True,True,False
pXlmlgEitWEM_5HxKo4vA,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,4191.68,2978.27,True,False,True,True,False
EcNnKUEQym8ixnNDcyaA2,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,4590.76,3261.82,False,False,True,False,False
t5W8W-cu2MK_GNzZkFXuv,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,4964.79,3527.58,True,False,True,True,False
2PTrNJKhyOV_xh-fUlJ02,2019-01-04 00:00:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3760.13,3760.13,False,False,True,False,False
MfPsikmH0XJj8acNt8pwR,2019-01-04 04:48:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,3880.38,3880.38,True,False,True,True,False
caekBM7x1LzW0lRyCpse3,2019-01-04 09:36:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,4360.64,4360.64,True,False,True,True,False
q_9k79sRd56yw_mngoVmK,2019-01-04 14:24:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,4663.08,4663.08,True,False,True,True,False
eASmK2N3aNN4XIv6ch5YS,2019-01-04 19:12:00,2019-01-04,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,4462.22,4462.22,True,False,True,True,False
YtsXuKZlhJPnkyMB6Bvnm,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,US,USD,5994.52,5994.52,False,False,True,False,False
28ayjtJXzK8a3meqo4Vw_,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,US,USD,5832.72,5832.72,True,False,True,True,False
ERxUyyreH8ij-5I7FDZDV,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6419.77,6419.77,False,False,True,False,False
y0ajfGMv4UfBC6OJhdORr,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6324.78,6324.78,True,False,True,False,False
YDfkNhgnV8wOVKGWK-qYX,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6546.11,6546.11,True,False,True,True,False
eCeFKa-oEAHxZz09ARpWN,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3335.44,132.97,False,False,True,False,False
ZOmg6s-K6VHO_l9IeVIcM,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3447.79,137.45,True,False,True,True,False
qQfKQOxjqmbypbg0oj--r,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,3343.62,133.3,True,False,True,True,False
EkmNLvWBkK4kx1jzmWRsk,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,4016.67,160.13,True,False,True,True,False
2AGxVTV01FIs0iOlm0p8Y,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,MX,MXN,4051.93,161.53,True,False,True,True,False
91b3YM_THORfgbdzOsObV,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,733.09,888.57,False,False,True,False,False
t4fLpd5dGuk0lTawLr73u,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,608.89,738.03,True,False,True,False,False
o-EnOzjks8GFhQy3niA_q,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,1236.97,1499.31,False,False,True,False,False
NU0jyjo-7tu4f7A2xFkDo,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,1915.78,2322.09,True,False,True,True,False
qu--TDSjY1zvf82w-ROkY,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,UK,GBP,2276.05,2758.77,True,False,True,True,False
HMf0w0VWrvYgiROzEI1lE,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,6188.78,6799.44,True,False,True,True,False
E-xJ2PPooahGWowCvsX1r,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,6626.76,7280.64,False,False,True,False,False
1rMs_1ro5_s4uwpVpyGjr,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,6802.62,7473.85,True,False,True,True,False
MkDlyu1L5uy-PR4ao-Mty,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,7411.3,8142.59,False,False,True,False,False
GZzUC_btkjW83iPcoeGVx,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,FR,EUR,7230.59,7944.05,True,False,True,True,False
xT4hLLbnWgZNsBFYaBWTv,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,5626.78,3985.15,True,False,True,False,False
30togFOPmiaQAHVac86z9,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,6209.05,4397.55,True,False,True,False,False
PmXHoE-rHzeTrkheORwCA,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,6246.88,4424.34,True,False,True,False,False
U--nB1N6Z0tvn_8gAa_IC,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,6272.66,4442.6,True,False,True,True,False
1n62uA1gKi2jMJiHqKwfm,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,CA,CAD,6679.81,4730.96,True,False,True,True,False
BJ3zwi-P6UKt645Q-nwV_,2019-01-05 00:00:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,4807.43,4807.43,True,False,True,False,False
f2zBJJSvp-zHwzRU97ODd,2019-01-05 04:48:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,5259.36,5259.36,True,False,True,True,False
N55mI3-_0tOFcqbwDR1Uq,2019-01-05 09:36:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,5770.6,5770.6,False,False,True,False,False
40WEzA9pFf4FSulJRrl3e,2019-01-05 14:24:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,6460.76,6460.76,True,False,True,False,False
sJ8P3GLM6tek6qCbKjAUW,2019-01-05 19:12:00,2019-01-05,2018-12-31,2019-01-01,GLOBALPAY,AE,USD,6220.22,6220.22,False,False,True,False,False
11ubQ6-uZvMfvLiWN0H_C,2019-01-06 00:00:00,2019-01-06,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6343.93,6343.93,False,False,True,False,False
m6Zm7_akOkiGSFiijgBCh,2019-01-06 04:48:00,2019-01-06,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6489.8,6489.8,False,False,True,False,False
pi833Lo776A2bDhFIQx8E,2019-01-06 09:36:00,2019-01-06,2018-12-31,2019-01-01,GLOBALPAY,US,USD,6547.35,6547.35,False,False,True,False,False
